ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
3.6331628288625284,179.35057672479883,28584.17580970699,5.246381746649555,292.44053636393704,500.866018456054,8.95640145961113,77.3609852692872,3.3495716551359638,1
8.860450853927205,193.74310515437074,24085.11214024342,6.1831095178272095,,526.7049237128014,9.901327631938614,81.33933980941578,4.677713326887139,1
10.13793228826111,242.00571600208502,15088.827652848913,8.677789359299585,,596.3463463537486,14.971198823843679,62.36582435098707,3.8720181587616995,1
9.900814840038255,199.0837517570167,16233.134679362192,8.14664316834556,380.11302950022434,345.01985183664556,20.386719629536515,73.38148841994276,2.3950021100616565,1
10.26843050116335,218.21668247048092,13753.99337343067,7.512608141042463,334.17807471095637,341.60220865225233,15.671563525842828,84.68266023310612,4.304689262186712,1
0.22749905020219874,152.5301111764229,39028.599340290755,3.4624920476792767,283.69378223429663,443.0292321286284,13.201943203829217,62.32271110691731,3.545741437567914,1
6.0172609236891335,206.01439977829966,15157.268786501596,7.582123856166227,307.7044735832638,431.78198749065535,14.22175703606797,53.31997717469853,4.427712282297473,1
7.110845138033223,213.88633690096805,25043.53280335705,6.048437038051848,245.95425295135874,505.73553454097697,16.38314048027098,91.68102605172317,5.712792127184658,1
6.350290472055328,190.38373782069618,14905.393851576406,5.537830156620091,,446.840605056286,13.98356664497345,67.81709623719206,4.265233067313503,1
8.129341720237186,211.12331234907046,22982.927444607063,6.779005476818379,326.39795325728005,367.9887836916985,13.910933188836339,55.795356643677046,4.822043563607494,1
10.252816232929478,218.2797000559973,18158.842119050863,8.657341897259338,349.5295678863063,336.1988371922729,19.4425988167568,82.85827183958872,4.559836218772728,1
5.462355934706153,187.70953274686872,11642.148998545998,8.4396410712474,,534.6639448904972,8.129792646305418,74.60371287284924,4.486180492425556,1
9.239440361060407,212.56907634315343,14829.624212321545,7.172920416881898,324.1289152553997,575.4219683641888,16.581120438382868,66.88527012551617,3.4719711273327922,1
7.071314192217861,213.61962501948653,20038.796416929355,7.602251873891982,290.05721880909675,605.3050414394087,8.713963616341118,58.41345969332727,4.293726559748635,1
7.11589526567209,193.70674452434446,18463.88366234153,4.9243889968068135,319.0569513003889,369.5340340016997,14.841579896963651,54.43749401642613,3.7360205470554306,1
8.238996596889073,199.5945386636891,25046.798640288314,9.288019857195886,350.8359860186515,328.3633982586783,18.743230788080666,54.41696499379492,3.089923748952148,1
6.446252031563202,204.25356307886767,11104.250507939692,7.648612892834538,,418.0412195645082,16.62562737934104,,4.976957857871973,1
6.161779499462049,202.7569725044581,12229.647584088485,11.523597512651355,324.04803479549577,344.3656891332465,14.685926834805741,47.803193695735956,4.003547029108377,1
6.772156537729458,196.90009840651135,13790.296201812738,9.57505287265186,,347.58837474387843,17.705727306416122,68.37981451778118,3.82725596122325,1
7.061845519716819,211.0916870824707,11300.238108793832,8.866359287204885,299.93807105083397,353.5104246491603,16.895753682783038,67.5771086755158,3.958248504440257,1
4.638250258554134,182.41962093934336,34261.98588949726,6.197715941573335,307.45845423970667,439.1177045525735,7.760852569489202,,4.124537824896342,1
7.6789668886832025,205.47991835519747,7472.506480020473,7.181868527775382,,395.23578431177197,7.9181503376644855,76.37830906277955,3.7189815585763064,1
8.137713063107284,178.71663294161257,33786.716309201074,9.10188513655897,,481.0735393354328,12.273180646441858,95.90528790951598,2.743866752405663,1
7.481397771916631,186.07476549927424,13781.780283955726,4.649253929836745,377.3443718640398,323.7728426252204,11.687123837165814,66.2916498377711,4.039976289796705,1
8.082148076453887,185.93241935475612,28407.66102588473,7.605420787733807,381.7618835882825,402.65802223263967,12.830646313172451,86.97972391731665,3.3734845141195007,1
,210.62735850548063,27983.17942203171,5.947212908027238,,436.8440525505291,16.127527143449186,64.56404411046557,4.290393223612015,1
7.70218309918713,192.13753061224048,18126.030963032394,9.154580506611481,364.1912269571671,646.7325987352091,14.376336909241957,90.5275363195179,4.382159162064481,1
6.75076118602011,207.25450536342476,23642.992596628425,7.691012379460733,293.7830398628194,446.6969390598088,6.0003909304893455,30.900815146077882,2.7777262647509398,1
,219.70604813973517,22387.315752754752,7.308500571669125,316.97300307263026,327.2895433835891,12.785265313763432,80.75786638068465,4.64936502812178,1
6.323942072569584,185.99241060624865,23234.788934234868,5.892962668914752,347.23682655314894,401.30489463039453,13.26328178732274,60.47403117761401,3.5750105760990736,1
5.4038836922267075,199.01667409214966,11571.421537186176,6.285433845719699,,377.4307462748564,11.859074319563035,74.0120431141782,3.189942299371127,1
5.699873488404511,159.43560108087217,31977.370136820922,5.249974384483521,,501.7432180670225,8.008011415089925,55.87024536465181,2.416402097988852,1
7.694264581971543,184.83630056639765,22673.0344718994,5.701063334216145,,439.6330268963013,8.857705530972908,64.97557391582566,5.707192759327155,1
8.581428693706043,186.60162110778467,20590.71211413799,3.924182928425397,366.1318999181253,384.30569829458165,9.999397816120336,66.69397283949574,3.3884482219420073,1
9.888941401311577,220.63882299221908,19892.38891391681,7.986456361636122,326.0765602807416,460.8124248503234,14.929172151503508,59.60280779405531,3.7501635103444078,1
3.4264503676355647,154.71172445985175,21839.69595639051,4.965722327957003,,437.3771805962571,14.689350595981807,56.49007684901041,5.978053939752291,1
8.370440489338627,231.44255333831302,15063.814968339631,12.279374176513643,,422.2938192522455,15.027087583819991,67.50300434801802,3.2106354104822326,1
,204.852186950213,13286.156575345676,9.09384342143146,332.84554447775605,365.6875203930603,8.589895534507548,76.3063756515083,4.26852451986332,1
8.390500571895505,215.29551801590392,27032.14226185955,6.553957721862112,282.8594530240477,443.44559028593557,12.84161099733484,46.36821940731078,4.150359337290418,1
7.581944679656733,193.2864626334158,21675.682866428633,9.821498519744832,381.9307439745554,414.81098538973544,16.109169169906238,92.60908363758074,4.833345773568087,1
